gene_ID,ks_stat,gene_length,mutant_counts,co_counts
His3.3A,0.0504080267972119,137,689,1070
His3.3A,0.0504080267972119,137,689,1070
Rpn11,0.08619427590178863,309,825,1046
ND-13A,0.1536678188388899,127,234,328
ND-13A,0.1536678188388899,127,234,328
ND-13A,0.1536678188388899,127,234,328
cl,0.17267742131961122,127,177,216
cl,0.17267742131961122,127,177,216
cl,0.17267742131961122,127,177,216
CG6907,0.08227582507147013,438,427,634
CG6907,0.08227582507147013,438,427,634
Hel25E,0.08489474914305287,425,927,1159
Hel25E,0.08489474914305287,425,927,1159
Hel25E,0.1649684699051534,306,433,558
Hel25E,0.08489474914305287,425,927,1159
Lam,0.07277553726897568,623,393,537
Lam,0.07277553726897568,623,393,537
Lam,0.07277553726897568,623,393,537
Lam,0.07277553726897568,623,393,537
Gpdh1,0.1777053650435001,351,275,413
Gpdh1,0.145876805232947,361,276,431
Gpdh1,0.17770536504465295,354,275,413
Gpdh1,0.1777053650435001,351,275,413
Gpdh1,0.145876805232947,361,276,431
Gpdh1,0.17770536504465295,354,275,413
Vm26Ab,0.13600762942269362,169,2932,3228
Vm26Ab,0.13600762942269362,169,2932,3228
Vm26Aa,0.18282233291496697,142,5405,8557
Vm26Aa,0.18282233291496697,142,5405,8557
psd,0.13571696180191184,382,434,531
psd,0.13571696180191184,382,434,531
CG13992,0.05952057114519893,660,342,394
CG13992,0.05952057114519893,660,342,394
CG13992,0.05952057114519893,660,342,394
chic,0.08755795094900176,127,604,766
chic,0.08755795094900176,127,604,766
chic,0.08755795094900176,127,604,766
chic,0.08755795094900176,127,604,766
chic,0.08755795094900176,127,604,766
chic,0.08755795094900176,127,604,766
eIF4A,0.20175122878610618,404,2800,4251
eIF4A,0.20175122878610618,404,2800,4251
eIF4A,0.20175122878610618,404,2800,4251
eIF4A,0.2003569298376594,404,2791,4223
eIF4A,0.2003569298376594,404,2791,4223
eIF4A,0.2003569298376594,404,2791,4223
ifc,0.11647935109809972,322,194,288
ifc,0.22062343475934187,103,92,131
CG9135,0.08072844095729509,488,807,1110
CG9135,0.08072844095729509,488,807,1110
CG9135,0.08072844095729509,488,807,1110
CG9135,0.08072844095729509,488,807,1110
ND-51,0.06695051006861441,475,467,567
ND-51,0.06695051006861441,475,467,567
Pfdn1,0.10566357511995428,127,239,315
Pfdn1,0.10566357511995428,127,239,315
Kr-h2,0.10890844877551331,277,319,401
Kr-h2,0.10890844877551331,277,319,401
Kr-h2,0.10890844877551331,277,319,401
stai,0.04645211288221185,258,1549,2025
stai,0.047172622421586596,303,1510,1973
stai,0.0731427392216285,251,1252,1677
stai,0.047172622421586596,303,1510,1973
stai,0.04336546081199755,382,1510,1974
Arpc4,0.204070742266815,169,208,296
Sec61alpha,0.061779595899442485,477,1827,2219
Sec61alpha,0.061779595899442485,477,1827,2219
epsilonCOP,0.05140906591324537,307,347,616
Phf5a,0.1586731839313924,112,143,143
COX5B,0.09916267855475441,121,368,605
COX5B,0.09916267855475441,121,368,605
Ent2,0.09093830598162345,459,263,276
Ent2,0.09093830598162345,459,263,276
cup,0.033088001997334415,1118,2251,4057
cup,0.033088001997334415,1118,2251,4057
CG34310,0.24967188340738722,130,67,134
nrv1,0.07194109973813001,310,327,475
nrv1,0.07194109973813001,310,327,475
Rca1,0.10126061731071012,412,214,355
x16,0.15073833921117144,258,151,290
x16,0.14722100040492078,259,153,292
nop5,0.092370834677696,512,682,1156
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
Hrb27C,0.10268486481601746,422,1273,1815
muc,0.08237766290759985,513,307,339
muc,0.07637100382670126,474,291,308
muc,0.07881765725560186,490,299,323
muc,0.07962287906944776,497,299,324
muc,0.08237766290759985,513,307,339
muc,0.09189204376291027,422,275,299
CG5958,0.06944507748322401,295,885,1607
Rack1,0.09417869645695531,319,1459,2546
Rack1,0.09417869645695531,319,1459,2546
Rack1,0.0951967119091503,110,291,678
Rack1,0.09417869645695531,319,1459,2546
mts,0.11958450752921357,310,988,1616
mts,0.11958450752921357,310,988,1616
mts,0.11958450752921357,310,988,1616
Sirup,0.12723646150401935,119,330,545
Sirup,0.12723646150401935,119,330,545
RpL36A,0.08535481307381343,105,530,1409
RpL36A,0.08535481307381343,105,530,1409
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Bsg,0.1222111870498307,267,238,242
Bsg,0.11881973932190648,266,238,243
Bsg,0.11881973932190648,266,238,243
Su(var)205,0.09579302230725255,207,528,640
Su(var)205,0.09579302230725255,207,528,640
Ssb-c31a,0.06210685953978487,111,376,551
Snx6,0.057244392539786526,450,321,412
Snx6,0.05724439253653091,456,321,412
CG7840,0.062254621036360425,327,510,566
Ostgamma,0.04475990236609162,331,240,245
RpS13,0.08708339228884482,152,704,1601
RpS13,0.08708339228884482,152,704,1601
RpS13,0.08708339228884482,152,704,1601
CSN8,0.11078121433852472,183,210,216
Pp2A-29B,0.08886567488723235,592,1745,2580
Pp2A-29B,0.08886567488723235,592,1745,2580
Pp2A-29B,0.08886567488723235,592,1745,2580
Pp2A-29B,0.0886743456280768,651,1745,2580
Pp2A-29B,0.08433962908694764,651,1723,2573
Wdr82,0.13180445703079158,318,162,202
AlaRS,0.04891105806486884,967,1308,1845
AlaRS,0.04891105806486884,967,1308,1845
Rcd4,0.16340504654856614,200,104,151
Rcd4,0.16340504654856614,200,104,151
Dad1,0.16281367697547844,113,115,169
emb,0.09682809845231016,1064,839,897
emb,0.09682809845231016,1064,839,897
Akap200,0.052828731987064614,838,2025,3184
Akap200,0.05508531387398097,754,2017,3168
Akap200,0.05508531387398097,754,2017,3168
Akap200,0.06272069606167785,373,1816,2889
Akap200,0.06272069606167785,373,1816,2889
Akap200,0.052828731987064614,838,2025,3184
Akap200,0.06272069606167785,373,1816,2889
Chrac-14,0.19867534266687448,129,339,355
CG13096,0.06546576388927217,682,795,1476
CG13096,0.06546576388927217,682,795,1476
mRpL51,0.1247919850111795,175,99,161
alien,0.08375194902104957,445,535,679
alien,0.08375194902104957,445,535,679
alien,0.08375194902104957,445,535,679
alien,0.08375194902104957,445,535,679
Aldh,0.04544602619557725,521,1364,1895
Aldh,0.04544602619557725,521,1364,1895
Gdi,0.02716984420016344,444,1724,2624
Gdi,0.02716984420016344,444,1724,2624
Gdi,0.02716984420016344,444,1724,2624
CG13114,0.1006252602126455,427,387,452
Mtpalpha,0.06162716156601733,745,1267,2055
Mtpalpha,0.062275140356847225,784,1301,2096
Trx-2,0.18306460555388215,107,482,631
Trx-2,0.18306460555388215,107,482,631
hoip,0.11345320463834974,128,583,856
hoip,0.11345320463834974,128,583,856
CG4364,0.12508407753419093,628,359,583
und,0.06362753355486898,449,400,495
und,0.06362753355486898,449,400,495
und,0.06362753355486898,449,400,495
Fkbp59,0.104219450522265,440,1075,1294
Fkbp59,0.104219450522265,440,1075,1294
Bka,0.15483197117998826,201,135,173
RpS2,0.17128254845760219,268,1679,2686
RpS2,0.17128254845760219,268,1679,2686
RpS2,0.17128254845760219,268,1679,2686
yip2,0.0702327049005671,399,875,1316
CG5885,0.0964652496122283,191,547,765
CG5885,0.0964652496122283,191,547,765
CG4598,0.07703434492147665,282,230,365
CG4598,0.07703434492147665,282,230,365
CG5853,0.0682611304971466,690,357,612
CG5853,0.0682611304971466,690,357,612
CG5853,0.0682611304971466,690,357,612
RpL13,0.04394885632671652,219,1505,2281
RpL13,0.04394885632671652,219,1505,2281
RpL13,0.04394885632671652,219,1505,2281
Ndf,0.08187100997249405,603,388,553
Ndf,0.08187100997249405,603,388,553
Ndf,0.08187100997249264,604,388,553
Trp1,0.1260513034229029,386,294,375
Trp1,0.1373897299653245,416,296,404
Trp1,0.12896181682242744,399,293,373
Trp1,0.14049373760013922,429,295,402
Pen,0.03606019111108255,523,2911,4867
Ripalpha,0.10919765175709928,198,192,275
RpL7,0.11794491988172687,253,1344,2214
RpL7,0.11794491988172687,253,1344,2214
CG34159,0.1141117829326655,148,85,83
Prosalpha6,0.06773991115396605,280,1420,1412
Prosalpha6,0.06773991115396605,280,1420,1412
eEF1delta,0.0693709692086179,230,1082,1751
eEF1delta,0.05996143785594754,257,1165,1871
me31B,0.06913030951010435,460,9216,10823
me31B,0.07111603331882721,429,8786,10348
CG31717,0.13341985962275904,205,154,210
CG31717,0.13341985962275904,205,154,210
CG5676,0.09312815215055587,157,429,434
REPTOR-BP,0.13703251954431628,119,145,191
REPTOR-BP,0.13988214615816746,118,145,190
CG4968,0.0692331019466963,263,319,348
l(2)SH0834,0.18142377024000317,205,108,109
Usp14,0.0618558183176105,476,1051,1359
Usp14,0.0618558183176105,476,1051,1359
CG4972,0.09283699874451945,562,626,676
RnrL,0.0440306352771756,813,1840,2951
CG31715,0.1048783810091396,120,136,157
CG31715,0.10487838100752422,122,136,157
ClpP,0.13428449690137279,254,144,162
ClpP,0.13428449690137279,254,144,162
CG33303,0.05815662139358302,459,722,762
CG33303,0.05815662139358302,459,722,762
Cdk1,0.17144371570345351,298,695,904
mRpS7,0.10187765531658313,219,187,169
mRpS7,0.10187765531658313,219,187,169
Mdh1,0.19113636987682253,338,554,693
Mdh1,0.19113636987682253,338,554,693
CG17768,0.2763238898322872,155,193,274
CG17768,0.2763238898322872,155,193,274
Ip259,0.33478606228708147,260,165,263
Ip259,0.33478606228708147,260,165,263
RpS27A,0.12631624640162425,157,1572,2522
CG5355,0.05862274084562724,757,1139,1484
RfC3,0.07649548152373517,333,265,366
Wdfy2,0.07650593160344954,409,299,329
Wdfy2,0.07650593160344954,409,299,329
SmB,0.041061119480516245,200,302,607
KdelR,0.12563537611442754,213,196,328
KdelR,0.12563537611442754,213,196,328
KdelR,0.12563537611442754,213,196,328
TfIIB,0.14724044794556887,316,246,318
TfIIB,0.14724044794556887,316,246,318
CG6094,0.06628838354344625,204,107,165
CG6094,0.06628838354344625,204,107,165
Lip4,0.11185241522896627,449,470,480
Lip4,0.11205786397601003,433,472,482
Lip4,0.11249200084627498,435,474,483
porin,0.048614746907836404,283,1607,2200
porin,0.048614746907836404,283,1607,2200
porin,0.048614746907836404,283,1607,2200
porin,0.048614746907836404,283,1607,2200
porin,0.048614746907836404,283,1607,2200
CG12517,0.10861685679246139,139,82,147
CG33129,0.09945781270325293,238,969,1492
CG33129,0.09945781270325293,238,969,1492
CG33129,0.09945781270325293,238,969,1492
CG33129,0.09945781270325293,238,969,1492
CG33129,0.09945781270325293,238,969,1492
CG33129,0.0615671538441005,678,1019,1501
CG33129,0.0615671538441005,678,1019,1501
piwi,0.049731653671736514,844,1044,1209
piwi,0.049731653671736514,844,1044,1209
aub,0.0410746917724813,796,561,632
aub,0.03689168496299944,867,592,673
RpL9,0.14807284781561497,191,1128,1742
RpL9,0.14807284781561497,191,1128,1742
RpL9,0.14807284781561497,191,1128,1742
RfC38,0.08257623171871487,357,323,457
RfC38,0.08257623171871487,357,323,457
CG6287,0.13638652241286509,333,372,415
Vm32E,0.14825175187681372,117,732,1397
Vm32E,0.14825175187681372,117,732,1397
CG14931,0.11194340807814218,224,189,249
CG14931,0.11194340807705977,221,189,249
CG18789,0.11086002156846797,399,203,283
CG18787,0.10288330978027538,399,215,306
CG6766,0.06856000554940991,526,399,506
RpL7-like,0.09468805374109923,258,268,409
RpL7-like,0.09468805374109923,258,268,409
RpL7-like,0.09468805374109923,258,268,409
ThrRS,0.04792363471437511,691,1374,1754
ThrRS,0.04722268194498719,748,1380,1766
ThrRS,0.04722268194498719,748,1380,1766
ThrRS,0.04792363471437511,691,1374,1754
bru1,0.0950181756769698,574,1378,1934
atilla,0.13914708545903076,144,519,765
atilla,0.13914708545903076,144,519,765
bru1,0.0950181756769698,574,1378,1934
bru1,0.0950181756769698,574,1378,1934
bru1,0.09169632995783852,811,1382,1938
bru1,0.09169632995783852,811,1382,1938
bru1,0.0950181756769698,574,1378,1934
bru1,0.07962519527474002,605,1464,2032
bru1,0.07962519527474002,605,1464,2032
bru1,0.07960418137201897,621,1464,2032
bru1,0.04555456472636282,362,1020,1305
vir-1,0.0843746433659408,432,631,924
vir-1,0.08171255916973785,424,616,894
vir-1,0.0843746433659408,432,631,924
vir-1,0.07424009665740083,235,646,922
vir-1,0.07424009665740083,235,646,922
SC35,0.2751611303200747,196,106,116
SC35,0.2751611303200747,196,106,116
SC35,0.2751611303200747,196,106,116
eRF3,0.03694861704814645,620,650,760
eRF3,0.03694861704814645,620,650,760
eRF3,0.03694861704814645,620,650,760
eRF3,0.04656119031994843,496,544,637
bun,0.14665915755130843,190,117,155
CCT4,0.06776421109080144,534,1520,2250
CG6180,0.05395399885151786,258,1324,1583
Vha68-2,0.051115756684056546,615,1474,1757
Vha68-2,0.051115756684056546,615,1474,1757
Vha68-2,0.051115756684056546,615,1474,1757
Vha68-2,0.051115756684056546,615,1474,1757
Vha68-2,0.051115756684056546,615,1474,1757
Vha68-2,0.051115756684056546,615,1474,1757
Ski6,0.11317258927296642,247,170,196
Ski6,0.11317258927296642,247,170,196
CG16812,0.07194091761563326,456,246,312
Nnp-1,0.08584205792684008,688,472,679
CG6523,0.12680125522859126,217,179,257
Tap42,0.1515994160277907,381,340,349
CG31855,0.1915622864796691,110,107,131
CG31855,0.1915622864796691,110,107,131
ND-B22,0.06605561959353368,145,231,285
ND-B22,0.06605561959353368,145,231,285
beta'COP,0.11638566062776978,915,498,833
RpL24,0.05731438081902862,156,825,1519
RpL24,0.05731438081902862,156,825,1519
RpL24,0.05731438081902862,156,825,1519
Vm34Ca,0.1330847426808316,120,7040,8802
bgm,0.18009026268585754,667,402,535
bgm,0.18009026268585754,667,402,535
Rab14,0.12817129222713036,216,144,184
Rab14,0.11712895796577372,240,144,185
Rab14,0.12817129222713036,216,144,184
Adh,0.08902801282286188,257,1017,1324
Adh,0.08902801282286188,257,1017,1324
Adh,0.08902801282286188,257,1017,1324
Adh,0.08902801282286188,257,1017,1324
Adh,0.08902801282286188,257,1017,1324
CIAPIN1,0.11823449787920759,249,138,217
vas,0.0791575095473648,662,591,872
vas,0.0791575095473648,662,591,872
vas,0.0791575095473648,662,591,872
vig,0.09614875238130438,491,270,428
vig,0.09614875238130438,491,270,428
vig,0.09614875238130438,491,270,428
vig,0.09614875238130438,491,270,428
Cul3,0.0819469617568035,774,442,613
Cul3,0.0819469617568035,774,442,613
Cul3,0.0819469617568035,774,442,613
UK114,0.13826232036007724,139,101,120
UK114,0.13826232036007724,139,101,120
ND-B17,0.2149216815657422,168,160,182
ND-B17,0.2149216815657422,168,160,182
BicC,0.09762033000581449,906,1378,2079
BicC,0.09762033000581449,906,1378,2079
BicC,0.09988363068363515,786,1289,1961
PRL-1,0.2607232071340137,177,111,114
PRL-1,0.2607232071340137,177,111,114
PRL-1,0.2607232071340137,177,111,114
PRL-1,0.2607232071340137,177,111,114
EndoGI,0.07981654533523691,360,261,398
EndoGI,0.07981654533523691,360,261,398
EndoGI,0.07981654533523691,360,261,398
CG5861,0.15551024700824057,228,127,134
cni,0.08928028655393166,145,121,109
cni,0.08928028655393166,145,121,109
cni,0.08928028655393166,145,121,109
fzy,0.11829508773074926,527,469,954
cact,0.07189007895564203,501,389,485
cact,0.07189007895564203,501,389,485
cact,0.07189007895564203,501,389,485
cact,0.07189007895564203,501,389,485
cact,0.06187119974020422,483,345,452
mRpL4,0.0833401791664562,297,157,209
CaBP1,0.08970094563791148,434,536,904
CaBP1,0.08970094563791148,434,536,904
Tpr2,0.04200074955154842,509,597,806
Tpr2,0.04256029245815185,465,558,743
Tpr2,0.04200074955154842,509,597,806
Tpr2,0.04256029245815185,465,558,743
Tpr2,0.042217077123301916,479,558,743
Cyt-c-p,0.13502493600652737,109,353,566
Cyt-c-p,0.13502493600652737,109,353,566
VhaSFD,0.05800656456086084,469,624,857
VhaSFD,0.05800656456086084,469,624,857
VhaSFD,0.055555138212626906,442,588,800
VhaSFD,0.05868544956517807,543,624,858
Prosbeta4,0.06923782006313184,202,1160,1310
Prosbeta4,0.06923782006313184,202,1160,1310
LSm7,0.20901451994673836,111,145,196
LSm7,0.20901451994673836,111,145,196
LSm7,0.20901451994673836,111,145,196
Cse1,0.07334048309899466,976,1295,2091
ApepP,0.05322860560227177,614,610,995
ApepP,0.05322860560227177,614,610,995
Rpb11,0.11094756581261878,118,250,262
Sgt,0.1142170751023942,332,455,694
Sgt,0.1142170751023942,332,455,694
GCS2beta,0.05328937950663587,549,637,851
GCS2beta,0.05328937950663587,549,637,851
Fas3,0.17648973429063583,476,243,301
RpS26,0.20769382446392248,115,581,1004
RpS26,0.20769382446392248,115,581,1004
RpS26,0.20769382446392248,115,581,1004
RpS26,0.20769382446392248,115,581,1004
RpS26,0.20769382446392248,115,581,1004
Jwa,0.11544320960080079,250,203,269
CG17597,0.10510479118605548,408,228,390
CG17597,0.10510479118605548,408,228,390
ScpX,0.07474541170035232,545,336,476
CG10602,0.04791664245640037,614,706,1138
CG10602,0.04791664245640037,614,706,1138
CG10602,0.03815708507386553,685,769,1204
mRpL13,0.09887911785694081,179,193,287
CG10623,0.056581580932835496,332,494,725
CG10623,0.056581580932835496,332,494,725
CG10623,0.056581580932835496,332,494,725
EMC5,0.15821772313842974,110,189,124
RpL30,0.15984352689590015,112,458,960
RpL30,0.15984352689590015,112,458,960
RpL30,0.15984352689590015,112,458,960
Catsup,0.07010789300864845,450,403,433
CG10470,0.08953992802923239,184,199,259
Rpn3,0.11092832208729675,495,1174,1598
Rpn3,0.11092832208729675,495,1174,1598
l(2)37Cc,0.04852902662761904,277,705,897
l(2)37Cc,0.04852902662761904,277,705,897
l(2)37Cc,0.04852902662761904,277,705,897
AsnRS,0.06821526562990476,559,688,1083
AsnRS,0.06821526562990476,559,688,1083
l(2)37Cg,0.2655009016509437,106,72,148
l(2)37Cg,0.26064609362461294,117,71,141
l(2)37Cg,0.2481218518873653,133,72,141
gammaTub37C,0.07008523181814152,458,589,1066
gammaTub37C,0.07008523181814152,458,589,1066
CG10237,0.12710554578808475,307,309,532
CG10237,0.12710554578808475,307,309,532
CG10237,0.12869373327939315,325,319,551
CG10237,0.13195770049965228,302,308,531
CG10237,0.13195770049965228,302,308,531
RanGAP,0.07570276509304996,589,517,812
RanGAP,0.0761487314184568,597,521,815
RanGAP,0.0761487314184568,597,521,815
tj,0.07516027274421921,512,261,388
tj,0.0433200751925894,556,280,396
CG13084,0.22408479443501486,455,387,858
CG13083,0.16043180237739518,317,296,660
CG10166,0.09246757619092355,242,151,177
ref(2)P,0.16861131678470098,600,422,559
ref(2)P,0.16861131678470098,600,422,559
COX4,0.07746470478583156,183,1077,1578
COX4,0.07746470478583156,183,1077,1578
COX4,0.07746470478583156,183,1077,1578
COX4,0.07746470478583156,183,1077,1578
pr,0.20890439379988623,169,98,113
fok,0.20622064886845592,104,222,314
fok,0.07750520713216591,130,468,797
fok,0.07750520713216591,130,468,797
Taf13,0.15381720436586244,137,128,163
La,0.059019943293516605,391,526,774
Arpc2,0.1112957637707851,302,227,234
Arpc2,0.1112957637707851,302,227,234
CG2493,0.1109515324427216,476,340,481
CG2493,0.1109515324427216,476,340,481
Fs(2)Ket,0.031543397502737214,885,956,1860
Fs(2)Ket,0.031543397502737214,885,956,1860
Fs(2)Ket,0.031543397502737214,885,956,1860
Fs(2)Ket,0.031543397502737214,885,956,1860
Fs(2)Ket,0.031543397502737214,885,956,1860
Pomp,0.0430472483441591,135,779,1260
CG9336,0.08738820336913039,116,402,599
CG9336,0.07098177518164023,149,478,704
CG9338,0.10390402398911759,148,79,103
CG9338,0.10390402398911759,148,79,103
RPA2,0.11053828564766222,247,358,472
RPA2,0.11053828564766222,247,358,472
CG9272,0.1020008967420914,389,221,257
CG9246,0.07932428595643959,767,449,767
mAcon1,0.05077576576583609,788,1117,1784
mAcon1,0.05077576576583609,788,1117,1784
mAcon1,0.05077576576583609,788,1117,1784
mAcon1,0.05077576576583609,788,1117,1784
bur,0.08188430807293912,684,366,457
bur,0.08188430807293912,684,366,457
l(2)k14505,0.0695071724524996,280,143,177
l(2)k14505,0.0695071724524996,280,143,177
crc,0.1313757776083897,373,381,436
crc,0.13095944156499312,382,385,440
crc,0.13095944156499312,382,385,440
crc,0.1274054027287225,299,271,330
His4:CG33899,0.06626932927416224,104,88,90
His3:CG33818,0.22397602650563214,137,185,159
His4:CG33897,0.06626932927416224,104,88,90
His3:CG33821,0.22397602650563214,137,185,159
His4:CG33895,0.06626932927416224,104,88,90
His3:CG33824,0.22397602650563214,137,185,159
