gene_ID,Fold_change,padj,CDS_length_(bps)
Nomo1,0.72,2.76E-05,3642
Csmd1,0.76,2.92E-05,10692
Pom121,0.63,3.19E-05,3600
Tnks1bp1,0.65,3.23E-05,5160
Gse1,0.62,3.29E-05,3669
Psmb3,1.78,3.32E-05,615
Cobl,0.75,3.40E-05,3990
Dctn1,0.62,3.54E-05,3843
Dctn3,1.28,3.54E-05,558
Unc80,0.77,3.54E-05,9783
Zfp938,2.14,3.54E-05,1737
Clip3,0.72,3.59E-05,1641
Safb,0.63,3.68E-05,2811
Dll3,3.24,4.48E-05,1755
Tbca,1.73,4.94E-05,324
Vsnl1,1.2,5.13E-05,573
Fis1,1.44,5.44E-05,435
Tusc3,1.32,5.47E-05,1041
Rpl14,2.08,5.59E-05,651
Ndufa13,1.3,5.84E-05,432
Cox7a2,1.25,6.40E-05,249
Ndufb5,1.28,6.53E-05,567
Vamp2,0.78,6.65E-05,348
Tspoap1,0.66,6.68E-05,5538
Eif3b,0.7,7.40E-05,2409
Gsta4,1.39,8.10E-05,666
Zfp609,0.6,8.22E-05,4239
Tln2,0.77,8.47E-05,7626
Fbrs,0.59,8.94E-05,2940
Kmt2a,0.58,9.00E-05,11898
Rab6a,1.3,9.05E-05,624
Dock4,0.75,9.95E-05,5934
Itsn1,0.73,1.03E-04,3639
Mocs2,1.47,1.07E-04,264
Pkm,1.36,1.10E-04,1593
Lrrn3,1.35,1.12E-04,2121
Lars2,0.17,1.16E-04,2706
Ndufb10,1.32,1.19E-04,528
Uqcr10,1.43,1.19E-04,192
Ensa,1.26,1.23E-04,363
Scfd1,1.43,1.23E-04,1917
Tubb4a,0.75,1.23E-04,1332
0610009B22Rik,1.82,1.37E-04,420
Pmepa1,0.64,1.52E-04,822
Prepl,0.83,1.56E-04,1914
Tma7,2.38,1.57E-04,192
Sdk2,0.7,1.59E-04,6528
Znhit6,0.49,1.64E-04,876
Arid1b,0.75,1.79E-04,6732
Zfp318,0.69,1.79E-04,3462
Mapk8ip3,0.8,1.95E-04,4011
Trrap,0.82,1.98E-04,11541
Nsg2,1.26,2.02E-04,513
Cox7a2l,2.12,2.11E-04,333
Limch1,0.73,2.18E-04,3171
Crmp1,0.8,2.19E-04,1716
Ctnnd2,0.81,2.25E-04,3663
Lrpap1,1.41,2.26E-04,1080
Kdm4b,0.76,2.45E-04,3258
Ak5,0.72,2.48E-04,1686
Apoe,1.21,2.56E-04,933
Psma7,1.34,2.56E-04,744
Fat4,0.62,2.64E-04,14943
Slc32a1,0.76,2.68E-04,1575
Ctsl,1.22,2.69E-04,1002
Camk2a,0.693881612,0.000298082,1434
Apc2,0.675241863,0.000298082,6837
Manf,1.479079578,0.000307592,537
Epb41l1,0.687564633,0.000307691,2613
Col1a1,0.675804287,0.000320415,4359
Atxn2,0.723757564,0.000325524,3858
Slc7a8,0.750206998,0.000325524,1593
Rusc2,0.771175229,0.000343945,4386
Rsrp1,1.936551726,0.000355987,894
Rpl8,1.243601915,0.000357773,771
Prpf18,1.381185539,0.000361924,1053
1110051M20Rik,1.326817842,0.000404397,993
Pfdn1,1.368345957,0.000407464,366
Amn1,1.635861812,0.000407744,774
Ctsb,1.304416802,0.000411897,1017
Khsrp,0.743992297,0.000431853,2244
Srgap3,0.726613062,0.000451242,3297
Jcad,0.744273971,0.000451242,3960
Hivep3,0.583117927,0.000467419,7044
Fam117b,0.726348853,0.000467419,1752
Nhsl2,0.703829454,0.00048438,3657
Chd3,0.785272386,0.00048438,6165
Camta2,0.74220495,0.000502216,3609
Arhgef11,0.758528172,0.000502216,4656
Nipsnap1,1.409447281,0.000521451,852
Son,0.716539234,0.000523681,7332
Zfhx3,0.547707241,0.000530755,11169
Ylpm1,0.673831285,0.000532831,6417
Ptprf,0.768743321,0.000549166,5694
Nfix,0.821359876,0.000551639,1299
Atp2b2,0.833138151,0.000551639,3594
Hpca,1.454484218,0.000552763,579
Tfip11,0.642843739,0.000552763,2514
Zfp106,0.667567261,0.000552763,5664
Ywhag,0.803989222,0.000581902,741
Pdp1,1.250719459,0.000591548,1722
Churc1,1.505734005,0.000597001,336
Scaf4,0.641410146,0.000613757,3627
Sv2a,0.790735745,0.000613757,2226
Hnrnpc,0.790076052,0.000623115,900
Pde6d,1.743918674,0.000623115,450
Sfxn5,1.391640483,0.000624396,1026
Pcdh1,0.799861604,0.000641207,3114
Baz2a,0.701866419,0.000685706,5661
Arid2,0.711971175,0.000725687,5484
Tomm7,1.53451818,0.000725687,165
Prrc2b,0.73426364,0.000740555,6690
Eif3k,1.374723104,0.000746778,654
Zfp513,0.541084611,0.000764045,1623
Kcnip4,1.294685275,0.000793991,690
Dennd4a,0.787341546,0.000793991,5607
Kif1a,0.805199301,0.000804179,5118
H4c14,1.631599967,0.000804179,309
Shisa7,0.704941896,0.000822216,1623
Ep400,0.797340225,0.000824246,8997
Morf4l2,1.307420987,0.000861289,864
Sec24c,0.777891951,0.00086209,3288
Pde1a,1.210006584,0.000867179,1635
Psmb4,1.231349363,0.000878555,792
Trp53bp1,0.792563232,0.000909105,5907
Ndufs2,1.213115885,0.000924811,1389
Washc3,1.801717727,0.000928898,582
Polr2m,0.749286405,0.000966733,1098
Bzw1,1.404135403,0.000974806,1257
Ppfia1,0.642070536,0.001003067,3723
Rere,0.676909171,0.001010976,4674
Fbxo33,1.413512298,0.001010976,1686
Rps11,1.581917765,0.001051853,474
H3c11,2.875693767,0.001056232,408
Cmtr1,1.481121096,0.001094885,2511
Rcn2,1.371211674,0.001118099,960
R3hdm2,0.822303982,0.001161042,3132
Nav3,0.758033486,0.00116568,7077
Akap9,0.743016578,0.001177261,11337
Fam120c,0.74267536,0.001218034,3273
Zc3h13,0.591050654,0.001236432,5190
Ago2,0.759812917,0.001249577,2580
Ostc,1.446559207,0.00128811,447
Prkcg,0.858579843,0.001296672,2091
Slc38a1,0.811703548,0.001328361,1455
Chd5,0.721644376,0.001411063,5856
Erc1,0.713031529,0.001414544,0
Aig1,1.451623267,0.001433077,714
Helz,0.737706491,0.001436685,5892
Kif5a,0.663678819,0.001438244,3081
Hmbox1,0.69775074,0.001438244,1212
Pdcd10,1.994197524,0.001438244,636
Setd1b,0.592156494,0.001438244,5955
Atp1b3,1.39998891,0.001472387,834
Cisd1,1.34630591,0.001501796,324
Zmiz1,0.735226358,0.001512723,3198
Numa1,0.748134228,0.001569303,6282
Rpl4,1.266959306,0.001600539,1257
Nup214,0.71020485,0.001725066,6255
Rabac1,1.337381325,0.001753065,555
Sptbn4,0.691063774,0.001753065,3723
Atg7,1.686892996,0.001753065,2094
Dph6,1.496661126,0.001753065,801
Chmp2a,1.305949185,0.001776753,666
Gm13889,1.674816692,0.001776753,369
Tac1,1.347353181,0.001784694,345
Ccdc12,2.078552449,0.001784694,498
2610507B11Rik,0.767066222,0.001811523,6702
Mrpl48,1.762886505,0.001812375,633
Cplx2,0.763771967,0.001858478,402
Pcnx,0.776132149,0.001883418,7032
Lsm10,2.006478643,0.001945544,366
Cep350,0.702682145,0.002004551,9285
Clvs2,1.572672824,0.002007996,981
Vamp7,1.592304292,0.002030706,660
Atp5h,1.442398978,0.002067122,483
Cops3,1.270167789,0.002078843,1269
Psmc3,1.265719492,0.002153714,1326
Speg,0.746114878,0.002205655,2583
Bcr,0.736306914,0.002216714,3810
Kcnk9,0.725169184,0.002245228,1206
Cox5b,1.406570729,0.002251192,387
Scrg1,1.371257651,0.002251691,294
Ryr2,0.7396387,0.002256924,14898
Nkain2,1.541613066,0.002256924,624
Sgtb,1.233273751,0.002265079,912
Fbxo25,1.258024616,0.002271808,1098
Dot1l,0.623630847,0.002271808,4620
Phldb1,0.743206017,0.002271808,4113
Mrpl36,1.473232086,0.002276921,306
Dennd2a,0.543358337,0.002278843,3000
Nrcam,0.813030375,0.002296345,3768
Proser1,0.632332974,0.002353599,2739
Fasn,0.858852022,0.002354487,7512
Tns3,0.728087181,0.002400965,4320
Psma6,1.22584116,0.002408663,738
Cfap36,1.361720717,0.002448904,1029
H2bc8,2.046371152,0.002479183,378
Pcnx2,0.783010505,0.002479183,6366
Marf1,0.693176655,0.002479183,5208
Caskin1,0.810316666,0.00248369,4080
Ncoa6,0.715676925,0.002526173,6207
Nova2,0.703000423,0.002576116,1476
Wbp11,0.709034782,0.002576116,1923
Bnip3l,1.918151183,0.002584695,654
Pnisr,0.595157206,0.002667295,2442
Phf3,0.800692034,0.002675564,6075
Tmem11,1.609749885,0.002687053,570
Atp6v1c1,1.174992253,0.00270961,1146
Enpp5,1.244258544,0.002716727,1431
Lpin2,0.7452911,0.002752045,2679
Tnfaip8l3,2.032735275,0.002808009,612
Mcts1,1.314758581,0.002887312,546
Preb,0.711104205,0.002937367,1251
Mrps33,1.839863445,0.002951311,318
Pitpnm2,0.778100464,0.002953309,3843
Map7d1,0.797497102,0.002957983,2442
Eif5b,0.586611804,0.003105216,3648
Ech1,1.388321006,0.003158389,981
Sumo1,0.683813919,0.003193899,303
Cachd1,0.636929837,0.003193899,3864
Car4,0.619733867,0.003346356,915
Ccdc127,1.383738582,0.003347267,780
Otub1,1.346576559,0.003351922,813
Plk2,1.185634717,0.003352226,2046
Ctss,1.271911078,0.003414876,1020
C2cd2l,0.784985268,0.003414876,2118
H1f10,0.64282403,0.0034183,564
Whrn,0.626469071,0.003490763,2754
C1d,1.517361749,0.003490763,423
Map6,0.825332999,0.003610398,2718
Zc3h4,0.716163035,0.003630939,3765
Plec,0.620622171,0.00363759,13767
Brd3,0.690142544,0.003681742,2178
Soga1,0.691812997,0.003711291,4962
Trappc3,1.28650445,0.003776064,540
Ndufa5,1.27582454,0.003812041,0
Hykk,2.966729713,0.003814832,1128
Dpm3,1.769800409,0.003830355,276
Glrx,1.440544665,0.00390965,321
Add2,0.848760531,0.004022443,2175
Prrc2c,0.648228539,0.00411026,8538
Syne1,0.821504854,0.004118294,4293
Pde4dip,0.812098874,0.004118294,3354
Sez6l,0.760159721,0.004118294,2889
Scaf8,0.764118716,0.004118294,3804
Sap130,0.735585008,0.004225094,3171
Fxyd2,6.909567873,0.004294722,210
Nsd1,0.78480069,0.004335698,8073
Ndufb9,1.282319578,0.004363422,408
Aebp1,0.626166707,0.004370115,3384
Ptdss2,0.692442837,0.004388112,1419
Mgst3,1.454761425,0.004388112,459
Plxnb3,0.716590001,0.004409101,5706
Ssr4,1.422413864,0.004420244,519
Cops4,1.264350184,0.004472281,1218
Tenm2,0.757037032,0.004486804,8292
Slc38a2,0.823401742,0.004486804,1512
Scaf1,0.742661167,0.004486804,3768
Vps13d,0.788822913,0.004520362,13167
Gstm5,1.320701696,0.004536435,672
Fopnl,1.503657874,0.004545615,522
Bckdha,1.376674643,0.004637783,1338
Tmem106b,1.288927756,0.004640017,825
Hs3st1,0.689511518,0.004740751,933
Rpl35a,2.087408882,0.004768279,330
