"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"10","Ntng1","80883","1934028","Ntng1","Fly","32400","FBgn0015774","NetB","","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (NetB)    DRscDB Data: (NetB)"
"10","Ntng1","80883","1934028","Ntng1","Fly","32398","FBgn0015773","NetA","","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (NetA)    DRscDB Data: (NetA)"
"11","Rps6ka3","110651","104557","Rps6ka3","Fly","33139","FBgn0262866","S6kII","","11","10.9","moderate","Yes","No","eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (S6kII)    DRscDB Data: (S6kII)"
"11","Rps6ka3","110651","104557","Rps6ka3","Fly","38654","FBgn0283472","S6k","","4","3.97","moderate","No","No","Compara, OrthoDB, OrthoFinder, RoundUp","","Add","G2F details (S6k)    DRscDB Data: (S6k)"
"11","Rps6ka3","110651","104557","Rps6ka3","Fly","39241","FBgn0020412","JIL-1","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (JIL-1)    DRscDB Data: (JIL-1)"
"12","Actl6b","83766","1933548","Actl6b","Fly","36956","FBgn0025716","Bap55","","13","12.82","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Bap55)    DRscDB Data: (Bap55)"
"12","Actl6b","83766","1933548","Actl6b","Fly","40444","FBgn0000045","Act79B","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Act79B)    DRscDB Data: (Act79B)"
"12","Actl6b","83766","1933548","Actl6b","Fly","41885","FBgn0000047","Act88F","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Act88F)    DRscDB Data: (Act88F)"
"12","Actl6b","83766","1933548","Actl6b","Fly","35526","FBgn0000043","Act42A","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Act42A)    DRscDB Data: (Act42A)"
"12","Actl6b","83766","1933548","Actl6b","Fly","36879","FBgn0011743","Arp53D","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Arp53D)    DRscDB Data: (Arp53D)"
"12","Actl6b","83766","1933548","Actl6b","Fly","37368","FBgn0000044","Act57B","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Act57B)    DRscDB Data: (Act57B)"
"12","Actl6b","83766","1933548","Actl6b","Fly","31521","FBgn0000042","Act5C","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Act5C)    DRscDB Data: (Act5C)"
"12","Actl6b","83766","1933548","Actl6b","Fly","32623","FBgn0011742","Arp2","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Arp2)    DRscDB Data: (Arp2)"
"12","Actl6b","83766","1933548","Actl6b","Fly","38898","FBgn0262716","Arp3","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Arp3)    DRscDB Data: (Arp3)"
"12","Actl6b","83766","1933548","Actl6b","Fly","41566","FBgn0011745","Arp1","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Arp1)    DRscDB Data: (Arp1)"
"12","Actl6b","83766","1933548","Actl6b","Fly","48632","FBgn0000046","Act87E","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Act87E)    DRscDB Data: (Act87E)"
"13","Ahi1","52906","87971","Ahi1","Fly","53428","FBgn0040066","wds","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (wds)    DRscDB Data: (wds)"
"13","Ahi1","52906","87971","Ahi1","Fly","38761","FBgn0035724","CG10064","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (CG10064)    DRscDB Data: (CG10064)"
"13","Ahi1","52906","87971","Ahi1","Fly","37024","FBgn0034274","CG10931","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (CG10931)    DRscDB Data: (CG10931)"
"13","Ahi1","52906","87971","Ahi1","Fly","43040","FBgn0039301","Nup37","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (Nup37)    DRscDB Data: (Nup37)"
"13","Ahi1","52906","87971","Ahi1","Fly","37329","FBgn0034527","CG9945","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (CG9945)    DRscDB Data: (CG9945)"
"14","Dmd","13405","94909","Dmd","Fly","42327","FBgn0260003","Dys","","11","10.76","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam","","Add","G2F details (Dys)    DRscDB Data: (Dys)"
"15","Eef1a2","13628","1096317","Eef1a2","Fly","36271","FBgn0284245","eEF1alpha1","","9","8.79","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam","","Add","G2F details (eEF1alpha1)    DRscDB Data: (eEF1alpha1)"
"15","Eef1a2","13628","1096317","Eef1a2","Fly","43736","FBgn0000557","eEF1alpha2","","9","8.76","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, TreeFam","","Add","G2F details (eEF1alpha2)    DRscDB Data: (eEF1alpha2)"
"16","Hoxa1","15394","96170","Hoxa1","Fly","40817","FBgn0002522","lab","","6","5.93","high","Yes","Yes","eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","G2F details (lab)    DRscDB Data: (lab)"
"16","Hoxa1","15394","96170","Hoxa1","Fly","43234","FBgn0003267","ro","","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (ro)    DRscDB Data: (ro)"
"17","Ntng2","171171","2159341","Ntng2","Fly","32400","FBgn0015774","NetB","","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (NetB)    DRscDB Data: (NetB)"
"17","Ntng2","171171","2159341","Ntng2","Fly","32398","FBgn0015773","NetA","","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (NetA)    DRscDB Data: (NetA)"
"18","Rheb","19744","97912","Rheb","Fly","117332","FBgn0041191","Rheb","","11","10.86","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Rheb)    DRscDB Data: (Rheb)"
"19","Sgsh","27029","1350341","Sgsh","Fly","42266","FBgn0038660","CG14291","","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CG14291)    DRscDB Data: (CG14291)"
"20","Slc1a2","20511","101931","Slc1a2","Fly","33247","FBgn0026438","Eaat2","","11","10.8","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Eaat2)    DRscDB Data: (Eaat2)"
"20","Slc1a2","20511","101931","Slc1a2","Fly","34251","FBgn0026439","Eaat1","","4","3.8","moderate","No","No","eggNOG, OrthoFinder, OrthoInspector, orthoMCL","","Add","G2F details (Eaat1)    DRscDB Data: (Eaat1)"
"21","Tbx1","21380","98493","Tbx1","Fly","31778","FBgn0021767","org-1","","9","8.94","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (org-1)    DRscDB Data: (org-1)"
"21","Tbx1","21380","98493","Tbx1","Fly","39039","FBgn0028789","Doc1","","3","2.86","low","No","No","Compara, eggNOG, RoundUp","","Add","G2F details (Doc1)    DRscDB Data: (Doc1)"
"21","Tbx1","21380","98493","Tbx1","Fly","31379","FBgn0000179","bi","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (bi)    DRscDB Data: (bi)"
"21","Tbx1","21380","98493","Tbx1","Fly","37874","FBgn0266083","ocm","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (ocm)    DRscDB Data: (ocm)"
"21","Tbx1","21380","98493","Tbx1","Fly","39038","FBgn0035956","Doc2","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Doc2)    DRscDB Data: (Doc2)"
"21","Tbx1","21380","98493","Tbx1","Fly","33770","FBgn0261963","mid","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (mid)    DRscDB Data: (mid)"
"21","Tbx1","21380","98493","Tbx1","Fly","39036","FBgn0035954","Doc3","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (Doc3)    DRscDB Data: (Doc3)"
"21","Tbx1","21380","98493","Tbx1","Fly","33769","FBgn0016660","H15","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (H15)    DRscDB Data: (H15)"
"21","Adnp","11538","1338758","Adnp","","none found","","","","","","","","","","","",""
"22","Aldh5a1","214579","2441982","Aldh5a1","Fly","43092","FBgn0039349","Ssadh","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Ssadh)    DRscDB Data: (Ssadh)"
"23","Ank2","109676","88025","Ank2","Fly","38863","FBgn0261788","Ank2","","6","5.99","high","Yes","Yes","eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, RoundUp","","Add","G2F details (Ank2)    DRscDB Data: (Ank2)"
"23","Ank2","109676","88025","Ank2","Fly","43770","FBgn0011747","Ank","","5","4.77","moderate","No","No","eggNOG, Hieranoid, OrthoFinder, Phylome, TreeFam","","Add","G2F details (Ank)    DRscDB Data: (Ank)"
"24","Ankrd11","77087","1924337","Ankrd11","Fly","39446","FBgn0036305","CG10984","","4","3.93","moderate","Yes","No","Hieranoid, OrthoInspector, orthoMCL, RoundUp","","Add","G2F details (CG10984)    DRscDB Data: (CG10984)"
"25","Arid1b","239985","1926129","Arid1b","Fly","42130","FBgn0261885","osa","","11","10.93","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","G2F details (osa)    DRscDB Data: (osa)"
"26","Arx","11878","1097716","Arx","Fly","33208","FBgn0000061","al","","7","6.94","high","Yes","Yes","eggNOG, Hieranoid, OrthoDB, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","G2F details (al)    DRscDB Data: (al)"
"26","Arx","11878","1097716","Arx","Fly","33239","FBgn0023489","Pph13","","5","5.04","moderate","No","Yes","eggNOG, OrthoDB, OrthoInspector, Panther, RoundUp","","Add","G2F details (Pph13)    DRscDB Data: (Pph13)"
"26","Arx","11878","1097716","Arx","Fly","47894","FBgn0008636","hbn","","3","3.01","moderate","No","Yes","OrthoDB, orthoMCL, Panther","","Add","G2F details (hbn)    DRscDB Data: (hbn)"
"26","Arx","11878","1097716","Arx","Fly","47285","FBgn0011701","repo","","2","2.06","moderate","No","Yes","Panther, TreeFam","","Add","G2F details (repo)    DRscDB Data: (repo)"
"26","Arx","11878","1097716","Arx","Fly","37367","FBgn0020617","Rx","","3","3.07","low","No","No","OrthoDB, Panther, TreeFam","","Add","G2F details (Rx)    DRscDB Data: (Rx)"
"26","Arx","11878","1097716","Arx","Fly","5740176","FBgn0085369","Drgx","","2","2.11","low","No","No","OrthoDB, Panther","","Add","G2F details (Drgx)    DRscDB Data: (Drgx)"
"26","Arx","11878","1097716","Arx","Fly","31469","FBgn0263512","Vsx2","","2","1.97","low","No","No","OrthoDB, TreeFam","","Add","G2F details (Vsx2)    DRscDB Data: (Vsx2)"
"27","Ash1l","192195","2183158","Ash1l","Fly","40133","FBgn0005386","ash1","","10","9.68","high","Yes","Yes","Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (ash1)    DRscDB Data: (ash1)"
"27","Ash1l","192195","2183158","Ash1l","Fly","32301","FBgn0030486","Set2","","2","1.96","low","No","No","Compara, RoundUp","","Add","G2F details (Set2)    DRscDB Data: (Set2)"
"28","Auts2","319974","1919847","Auts2","Fly","32547","FBgn0260938","tay","","3","2.8","high","Yes","Yes","eggNOG, OrthoInspector, orthoMCL","","Add","G2F details (tay)    DRscDB Data: (tay)"
"29","Bckdk","12041","1276121","Bckdk","Fly","35970","FBgn0017558","Pdk","","2","1.91","moderate","Yes","No","eggNOG, OrthoDB","","Add","G2F details (Pdk)    DRscDB Data: (Pdk)"
"30","Bcl11a","14025","106190","Bcl11a","Fly","31660","FBgn0029939","CG9650","","10","9.88","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (CG9650)    DRscDB Data: (CG9650)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","34950","FBgn0001991","Ca-alpha1D","","12","11.87","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Ca-alpha1D)    DRscDB Data: (Ca-alpha1D)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","32158","FBgn0263111","cac","","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp","","Add","G2F details (cac)    DRscDB Data: (cac)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","45338","FBgn0002917","na","","3","2.94","low","No","No","eggNOG, OrthoDB, RoundUp","","Add","G2F details (na)    DRscDB Data: (na)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","32619","FBgn0285944","para","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (para)    DRscDB Data: (para)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","37981","FBgn0085434","NaCP60E","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (NaCP60E)    DRscDB Data: (NaCP60E)"
"31","Cacna1c","12288","103013","Cacna1c","Fly","31550","FBgn0264386","Ca-alpha1T","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Ca-alpha1T)    DRscDB Data: (Ca-alpha1T)"
"32","Cacna2d3","12294","1338890","Cacna2d3","Fly","36526","FBgn0261041","stj","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (stj)    DRscDB Data: (stj)"
"32","Cacna2d3","12294","1338890","Cacna2d3","Fly","34921","FBgn0028863","CG4587","","10","9.83","moderate","No","Yes","eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (CG4587)    DRscDB Data: (CG4587)"
"32","Cacna2d3","12294","1338890","Cacna2d3","Fly","34951","FBgn0261999","Ca-Ma2d","","8","7.92","moderate","No","Yes","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam","","Add","G2F details (Ca-Ma2d)    DRscDB Data: (Ca-Ma2d)"
"33","Caprin1","53872","1858234","Caprin1","Fly","59172","FBgn0042134","Capr","","9","8.87","high","Yes","Yes","Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (Capr)    DRscDB Data: (Capr)"
"34","Cdkl5","382253","1278336","Cdkl5","Fly","33798","FBgn0031730","CG7236","","3","2.81","moderate","Yes","No","eggNOG, OrthoDB, orthoMCL","","Add","G2F details (CG7236)    DRscDB Data: (CG7236)"
"35","Celf4","108013","1932407","Celf4","Fly","39527","FBgn0264001","bru3","","10","9.84","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (bru3)    DRscDB Data: (bru3)"
"35","Celf4","108013","1932407","Celf4","Fly","250811","FBgn0262475","bru2","","4","3.87","moderate","No","No","Compara, eggNOG, OrthoDB, RoundUp","","Add","G2F details (bru2)    DRscDB Data: (bru2)"
"35","Celf4","108013","1932407","Celf4","Fly","34648","FBgn0000114","bru1","","4","3.74","moderate","No","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","G2F details (bru1)    DRscDB Data: (bru1)"
"36","Chd2","244059","2448567","Chd2","Fly","33505","FBgn0250786","Chd1","","10","10.05","moderate","Yes","No","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam","","Add","G2F details (Chd1)    DRscDB Data: (Chd1)"
"37","Chd7","320790","2444748","Chd7","Fly","33185","FBgn0266557","kis","","10","9.85","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (kis)    DRscDB Data: (kis)"
"38","Chd8","67772","1915022","Chd8","Fly","33185","FBgn0266557","kis","","9","8.94","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (kis)    DRscDB Data: (kis)"
"39","Cic","71722","1918972","Cic","Fly","53560","FBgn0262582","cic","","10","9.87","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (cic)    DRscDB Data: (cic)"
"40","Ctnnb1","12387","88276","Ctnnb1","Fly","31151","FBgn0000117","arm","","13","12.81","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (arm)    DRscDB Data: (arm)"
"41","Cul3","26554","1347360","Cul3","Fly","34896","FBgn0261268","Cul3","","12","11.89","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Cul3)    DRscDB Data: (Cul3)"
"41","Cul3","26554","1347360","Cul3","Fly","35780","FBgn0033260","Cul4","","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","G2F details (Cul4)    DRscDB Data: (Cul4)"
"42","Ddx3x","13205","103064","Ddx3x","Fly","45826","FBgn0263231","bel","","13","12.86","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (bel)    DRscDB Data: (bel)"
"42","Ddx3x","13205","103064","Ddx3x","Fly","26067080","FBgn0283442","vas","","2","2.01","low","No","No","OrthoDB, OrthoFinder","","Add","G2F details (vas)    DRscDB Data: (vas)"
"43","Deaf1","54006","1858496","Deaf1","Fly","40164","FBgn0013799","Deaf1","","11","10.79","high","Yes","Yes","Compara, eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Deaf1)    DRscDB Data: (Deaf1)"
"44","Dhcr7","13360","1298378","Dhcr7","Fly","37482","FBgn0034657","LBR","","5","4.91","moderate","Yes","No","Compara, eggNOG, Inparanoid, OrthoFinder, RoundUp","","Add","G2F details (LBR)    DRscDB Data: (LBR)"
"45","Dip2a","64451","2385920","Dip2a","Fly","252479","FBgn0024806","DIP2","","12","11.79","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (DIP2)    DRscDB Data: (DIP2)"
"46","Dlg4","13385","1277959","Dlg4","Fly","32083","FBgn0001624","dlg1","","12","11.71","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (dlg1)    DRscDB Data: (dlg1)"
"47","Dmpk","13400","94906","Dmpk","Fly","37858","FBgn0023081","gek","","4","3.82","moderate","Yes","No","eggNOG, OrthoDB, OrthoFinder, Phylome","","Add","G2F details (gek)    DRscDB Data: (gek)"
"47","Dmpk","13400","94906","Dmpk","Fly","39429","FBgn0002466","sti","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (sti)    DRscDB Data: (sti)"
"47","Dmpk","13400","94906","Dmpk","Fly","43916","FBgn0026181","Rok","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Rok)    DRscDB Data: (Rok)"
"48","Dnmt3a","13435","1261827","Dnmt3a","Fly","36278","FBgn0026573","ADD1","","1","0.96","low","Yes","No","TreeFam","","Add","G2F details (ADD1)    DRscDB Data: (ADD1)"
"48","Dnmt3a","13435","1261827","Dnmt3a","Fly","42824","FBgn0016754","sba","","1","0.95","low","Yes","No","Isobase","","Add","G2F details (sba)    DRscDB Data: (sba)"
"49","Dscam","13508","1196281","Dscam","Fly","2769008","FBgn0263219","Dscam4","","13","12.87","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Dscam4)    DRscDB Data: (Dscam4)"
"49","Dscam","13508","1196281","Dscam","Fly","35652","FBgn0033159","Dscam1","","11","10.84","moderate","No","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (Dscam1)    DRscDB Data: (Dscam1)"
"49","Dscam","13508","1196281","Dscam","Fly","38788","FBgn0265296","Dscam2","","10","9.83","moderate","No","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","G2F details (Dscam2)    DRscDB Data: (Dscam2)"
